"id","game","event_type","created_at","team_name","player_name","related_player_name","result","minute","extra_minute","previous_player_event","previous_player_event_at","seconds_after_previous_event","player_id","related_player_id","participant_id","fixture_id"
116148052,Italy vs Albania (2024-06-15),Yellowcard,2024-06-15 22:14:00.000,Albania,Arbër Hoxha,,,74,0,Substitution,2024-06-15 22:08:00.000,360.0,1486200,,18641,19032617
116147973,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:08:00.000,Albania,Arbër Hoxha,Jasir Asani,,68,0,,,,1486200,142532,18641,19032617
116148514,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:32:00.000,Italy,Michael Folorunsho,Nicolò Barella,,90,2,,,,368455,130117,18658,19032617
116145822,Italy vs Albania (2024-06-15),Goal,2024-06-15 21:01:00.000,Albania,Nedim Bajrami,,"0-1",1,0,,,,198736,,18641,19032617
116145951,Italy vs Albania (2024-06-15),Goal,2024-06-15 21:11:00.000,Italy,Alessandro Bastoni,Lorenzo Pellegrini,"1-1",11,0,,,,133797,129946,18658,19032617
116146022,Italy vs Albania (2024-06-15),Goal,2024-06-15 21:16:00.000,Italy,Nicolò Barella,,"2-1",16,0,,,,130117,,18658,19032617
116146119,Italy vs Albania (2024-06-15),Yellowcard,2024-06-15 21:22:00.000,Italy,Lorenzo Pellegrini,,,22,0,,,,129946,,18658,19032617
116148143,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:17:00.000,Albania,Rey Manaj,Armando Broja,,77,0,,,,129812,23697427,18641,19032617
116148142,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:17:00.000,Italy,Bryan Cristante,Lorenzo Pellegrini,,77,0,,,,129467,129946,18658,19032617
116147974,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:08:00.000,Albania,Qazim Laci,Taulant Seferi,,68,0,,,,78462,142613,18641,19032617
116148311,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:23:00.000,Italy,Matteo Darmian,Federico Dimarco,,83,0,,,,933,129842,18658,19032617
116607644,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:14:00.000,Portugal,Francisco Conceição,João Cancelo,,74,0,,,,37328006,160956,18701,19032602
116609294,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:46:00.000,France,Bradley Barcola,Kylian Mbappé,,106,0,Penalty Shootout Goal,2024-07-05 21:07:00.000,5940.0,37317369,96611,18647,19032602
116609393,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:07:00.000,France,Bradley Barcola,,"2-4",7,0,,,,37317369,,18647,19032602
116609408,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:08:00.000,Portugal,Nuno Mendes,,"3-4",8,0,,,,37262099,,18701,19032602
116609327,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:59:00.000,Portugal,Matheus Nunes,Vitinha,,119,0,,,,21781428,4545430,18701,19032602
116607685,Portugal vs France (2024-07-05),Yellowcard,2024-07-05 22:24:00.000,France,William Saliba,,,84,0,,,,17544737,,18647,19032602
116607763,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:31:00.000,Portugal,Youssouf Fofana,João Palhinha,,91,0,Penalty Shootout Goal,2024-07-05 21:03:00.000,5280.0,3510051,160072,18701,19032602
116609352,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:03:00.000,France,Youssouf Fofana,,"1-2",3,0,,,,3510051,,18647,19032602
116609368,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:05:00.000,France,Jules Koundé,,"2-3",5,0,,,,337394,,18647,19032602
116609425,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:09:00.000,France,Theo Hernández,,"3-5",9,0,,,,186995,,18647,19032602
116609296,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:46:00.000,Portugal,João Félix,Rafael Leão,,106,0,Penalty Shootout Missed,2024-07-05 21:06:00.000,6000.0,163152,540251,18701,19032602
116609379,Portugal vs France (2024-07-05),Penalty Shootout Missed,2024-07-05 21:06:00.000,Portugal,João Félix,,"2-3",6,0,,,,163152,,18701,19032602
116607646,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:14:00.000,Portugal,Nélson Semedo,Bruno Fernandes,,74,0,,,,160110,129602,18701,19032602
116607676,Portugal vs France (2024-07-05),Yellowcard,2024-07-05 22:19:00.000,Portugal,João Palhinha,,,79,0,,,,160072,,18701,19032602
116607716,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:32:00.000,France,Rúben Neves,Eduardo Camavinga,,90,2,,,,159699,23688922,18647,19032602
116607692,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:26:00.000,France,Marcus Thuram,Randal Kolo Muani,,86,0,,,,99000,432872,18647,19032602
116609359,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:04:00.000,Portugal,Bernardo Silva,,"2-2",4,0,,,,96353,,18701,19032602
116607589,Portugal vs France (2024-07-05),Substitution,2024-07-05 22:07:00.000,France,Ousmane Dembélé,Antoine Griezmann,,67,0,Penalty Shootout Goal,2024-07-05 21:01:00.000,3960.0,32403,185658,18647,19032602
116609342,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:01:00.000,France,Ousmane Dembélé,,"0-1",1,0,,,,32403,,18647,19032602
116609345,Portugal vs France (2024-07-05),Penalty Shootout Goal,2024-07-05 21:02:00.000,Portugal,Cristiano Ronaldo,,"1-1",2,0,,,,580,,18701,19032602
116635387,Netherlands vs Turkey (2024-07-06),Yellowcard,2024-07-06 22:35:00.000,Turkey,Vincenzo Montella,,,90,5,,,,,,18716,19032603
116635326,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:29:00.000,Turkey,Semih Kılıçsoy,Kaan Ayhan,,89,0,,,,37564566,31878,18716,19032603
116634313,Netherlands vs Turkey (2024-07-06),Yellowcard,2024-07-06 21:30:00.000,Netherlands,Xavi Simons,,,30,0,,,,37317392,,18694,19032603
116635155,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:13:00.000,Netherlands,Micky van de Ven,Nathan Aké,,73,0,,,,37296248,1869,18694,19032603
116635398,Netherlands vs Turkey (2024-07-06),Redcard,2024-07-06 22:36:00.000,Turkey,Bertuğ Yıldırım,,,90,6,,,,34873979,,18716,19032603
116635303,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:27:00.000,Netherlands,Joshua Zirkzee,Xavi Simons,,87,0,,,,9605680,37317392,18694,19032603
116635298,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:27:00.000,Netherlands,Jeremie Frimpong,Memphis Depay,,87,0,,,,8403182,929,18694,19032603
116635174,Netherlands vs Turkey (2024-07-06),Goal,2024-07-06 22:16:00.000,Netherlands,Mert Müldür,Denzel Dumfries,"2-1",76,0,,,,2510388,26027,18694,19032603
116635193,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:17:00.000,Turkey,Kerem Aktürkoğlu,Kenan Yıldız,,77,0,,,,534383,37598725,18716,19032603
116635218,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:22:00.000,Turkey,Zeki Çelik,Samet Akaydin,,82,0,,,,450031,390543,18716,19032603
116634386,Netherlands vs Turkey (2024-07-06),Goal,2024-07-06 21:35:00.000,Turkey,Samet Akaydin,Arda Güler,"0-1",35,0,,,,390543,37547467,18716,19032603
116635192,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:17:00.000,Turkey,Okay Yokuşlu,Salih Özcan,,77,0,,,,201060,32622,18716,19032603
116635364,Netherlands vs Turkey (2024-07-06),Yellowcard,2024-07-06 22:33:00.000,Turkey,Cenk Tosun,,,90,3,Substitution,2024-07-06 22:22:00.000,660.0,45863,,18716,19032603
116635217,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:22:00.000,Turkey,Cenk Tosun,Mert Müldür,,82,0,,,,45863,2510388,18716,19032603
116635153,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 22:13:00.000,Netherlands,Joey Veerman,Tijjani Reijnders,,73,0,,,,29394,3156873,18694,19032603
116635472,Netherlands vs Turkey (2024-07-06),Yellowcard,2024-07-06 22:36:00.000,Netherlands,Wout Weghorst,,,90,6,Substitution,2024-07-06 21:46:00.000,3000.0,25317,,18694,19032603
116634895,Netherlands vs Turkey (2024-07-06),Substitution,2024-07-06 21:46:00.000,Netherlands,Wout Weghorst,Steven Bergwijn,,46,0,,,,25317,25776,18694,19032603
116635127,Netherlands vs Turkey (2024-07-06),Goal,2024-07-06 22:10:00.000,Netherlands,Stefan de Vrij,Memphis Depay,"1-1",70,0,,,,24015,929,18694,19032603
116634996,Netherlands vs Turkey (2024-07-06),Yellowcard,2024-07-06 21:54:00.000,Netherlands,Nathan Aké,,,54,0,,,,1869,,18694,19032603
116635060,Netherlands vs Turkey (2024-07-06),Yellowcard,2024-07-06 22:04:00.000,Netherlands,Virgil van Dijk,,,64,0,,,,1743,,18694,19032603
116269454,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:22:00.000,Serbia,Lazar Samardžić,Dusan Tadic,,82,0,,,,23707373,1351,18873,19032625
116269491,Slovenia vs Serbia (2024-06-20),Yellowcard,2024-06-20 16:34:00.000,Slovenia,Zan Vipotnik,,,90,4,Substitution,2024-06-20 16:16:00.000,1080.0,23697933,,18630,19032625
116269432,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:16:00.000,Slovenia,Zan Vipotnik,Benjamin Sesko,,76,0,,,,23697933,24818280,18630,19032625
