,Unnamed: 0,Model,Location,Miles,Prices,Year,Dealership,Manufacturer,Model_name,Mileage_Category
143,143,Hyundai sonata Sedan 4D,"Trenton, OH",120000.0,5500,2016,False,Hyundai,sonata Sedan 4D,100k-150k
144,144,Kia forte LXS Sedan 4D,"Lexington, KY",86000.0,9000,2019,False,Kia,forte LXS Sedan 4D,50k-100k
145,145,Nissan sentra S Sedan 4D,"Frankfort, KY",178000.0,6000,2019,False,Nissan,sentra S Sedan 4D,Over 150k
146,146,Honda accord,"Erlanger, KY",116000.0,7000,2012,False,Honda,accord,100k-150k
147,147,Nissan versa SV Sedan 4D,"Cincinnati, OH",100000.0,5299,2016,False,Nissan,versa SV Sedan 4D,50k-100k
148,148,Toyota camry,"Cincinnati, OH",110000.0,6900,2009,False,Toyota,camry,100k-150k
149,149,Mazda mazda3,"Hamilton, OH",92000.0,7999,2017,False,Mazda,mazda3,50k-100k
150,150,Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",143000.0,4500,2013,False,Hyundai,sonata GLS Sedan 4D,100k-150k
151,151,Mazda mazda3 i Touring Sedan 4D,"Cincinnati, OH",20000.0,3300,2010,False,Mazda,mazda3 i Touring Sedan 4D,Under 50k
152,152,Nissan altima 2.5 SL Sedan 4D,"Cincinnati, OH",113000.0,6500,2013,False,Nissan,altima 2.5 SL Sedan 4D,100k-150k
153,153,Nissan altima 2.5 S Sedan 4D,"Hamilton, OH",144000.0,4800,2015,False,Nissan,altima 2.5 S Sedan 4D,100k-150k
154,154,Nissan versa sedan,"Shelbyville, KY",96000.0,7500,2017,False,Nissan,versa sedan,50k-100k
155,155,Toyota camry L Sedan 4D,"Fairfield, OH",43000.0,18995,2019,False,Toyota,camry L Sedan 4D,Under 50k
156,156,Ford fusion SE Sedan 4D,"Dayton, OH",73000.0,8900,2016,False,Ford,fusion SE Sedan 4D,50k-100k
157,157,Ford fusion SE Sedan 4D,"Florence, KY",102000.0,5500,2013,False,Ford,fusion SE Sedan 4D,100k-150k
158,158,Chevrolet cruze LS Sedan 4D,"Florence, KY",140000.0,6000,2012,False,Chevrolet,cruze LS Sedan 4D,100k-150k
159,159,Ford fusion S Sedan 4D,"Lexington, KY",84000.0,8000,2017,False,Ford,fusion S Sedan 4D,50k-100k
160,160,Toyota camry XSE Sedan 4D,"Monroe, OH",198000.0,7500,2015,False,Toyota,camry XSE Sedan 4D,Over 150k
161,161,Ford fusion SE Sedan 4D,"Cincinnati, OH",120000.0,6750,2017,False,Ford,fusion SE Sedan 4D,100k-150k
162,162,Nissan altima 3.5 SR Sedan 4D,"Cincinnati, OH",76000.0,8500,2016,False,Nissan,altima 3.5 SR Sedan 4D,50k-100k
163,163,Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",152000.0,3500,2011,False,Hyundai,sonata GLS Sedan 4D,Over 150k
164,164,Nissan maxima SR (2017.5) Sedan 4D,"Cincinnati, OH",87000.0,9800,2017,False,Nissan,maxima SR (2017.5) Sedan 4D,50k-100k
165,165,Nissan rogue S Sport Utility 4D,"Cincinnati, OH",65000.0,9000,2016,False,Nissan,rogue S Sport Utility 4D,50k-100k
166,166,Honda fit LX Hatchback 4D,"Cincinnati, OH",82000.0,8999,2017,False,Honda,fit LX Hatchback 4D,50k-100k
167,167,Honda accord sport 2.4l l4 fwd,"Cincinnati, OH",93000.0,13993,2017,False,Honda,accord sport 2.4l l4 fwd,50k-100k
168,168,Nissan altima 2.5 S Sedan 4D,"Florence, KY",133000.0,3500,2011,False,Nissan,altima 2.5 S Sedan 4D,100k-150k
169,169,Nissan rogue SV Sport Utility 4D,"Cincinnati, OH",55000.0,8800,2015,False,Nissan,rogue SV Sport Utility 4D,50k-100k
170,170,Ford focus titanium,"Campbellsburg, KY",117000.0,6500,2016,False,Ford,focus titanium,100k-150k
171,171,Toyota matrix S Sport Wagon 4D,"Florence, KY",147000.0,6100,2009,False,Toyota,matrix S Sport Wagon 4D,100k-150k
172,172,Acura tlx 3.5 Sedan 4D,"Cincinnati, OH",97000.0,10250,2015,False,Acura,tlx 3.5 Sedan 4D,50k-100k
173,173,Hyundai accent se 6a,"Hamilton, OH",47000.0,14900,2021,False,Hyundai,accent se 6a,Under 50k
174,174,Kia optima SX Sedan 4D,"Cincinnati, OH",147000.0,5299,2012,False,Kia,optima SX Sedan 4D,100k-150k
175,175,Kia optima EX Sedan 4D,"Cincinnati, OH",174000.0,6900,2015,False,Kia,optima EX Sedan 4D,Over 150k
176,176,Ford fiesta SE Hatchback 4D,"Fort Mitchell, KY",110000.0,5000,2011,False,Ford,fiesta SE Hatchback 4D,100k-150k
177,177,Honda hr-v LX Sport Utility 4D,"Cincinnati, OH",105000.0,11500,2016,False,Honda,hr-v LX Sport Utility 4D,100k-150k
178,178,Honda fit Hatchback 4D,"Cincinnati, OH",87000.0,5900,2012,False,Honda,fit Hatchback 4D,50k-100k
179,179,Mazda mazda3 s Sport Sedan 4D,"Fort Thomas, KY",301000.0,1500,2008,False,Mazda,mazda3 s Sport Sedan 4D,Over 150k
180,180,Lexus IS 250 Sport Sedan 4D,"Newport, KY",163000.0,4000,2009,False,Lexus,IS 250 Sport Sedan 4D,Over 150k
181,181,Chevrolet malibu,"Cincinnati, OH",118000.0,9995,2016,False,Chevrolet,malibu,100k-150k
182,182,Chevrolet equinox LT Sport Utility 4D,"Latonia, KY",17000.0,5600,2012,False,Chevrolet,equinox LT Sport Utility 4D,Under 50k
183,183,Mazda mazda3 i Touring Value Sedan 4D,"Cincinnati, OH",155000.0,3000,2009,False,Mazda,mazda3 i Touring Value Sedan 4D,Over 150k
184,184,Ford escape SE Sport Utility 4D,"Cincinnati, OH",83000.0,6900,2017,False,Ford,escape SE Sport Utility 4D,50k-100k
185,185,Chevrolet cruze LT Sedan 4D,"Cincinnati, OH",102000.0,4900,2014,True,Chevrolet,cruze LT Sedan 4D,100k-150k
186,186,Nissan rogue S Sport Utility 4D,"Lawrenceburg, IN",90000.0,5500,2011,False,Nissan,rogue S Sport Utility 4D,50k-100k
187,187,Ford fusion SEL Sedan 4D,"Dayton, OH",115000.0,5995,2010,False,Ford,fusion SEL Sedan 4D,100k-150k
188,188,Nissan altima,"Cincinnati, OH",175000.0,2000,2016,False,Nissan,altima,Over 150k
189,189,"Honda civic $1,500 down","Hamilton, OH",130000.0,1500,2015,False,Honda,"civic $1,500 down",100k-150k
190,190,Chevrolet cruze limited 2LT Sedan 4D,"Dry Ridge, KY",161000.0,7500,2016,False,Chevrolet,cruze limited 2LT Sedan 4D,Over 150k
191,191,Ford fiesta S Sedan 4D,"Dayton, OH",124000.0,3700,2013,False,Ford,fiesta S Sedan 4D,100k-150k
